Price,Close,High,Low,Open,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Date,,,,,
1980-06-19,6791.8798828125,6791.8798828125,6791.8798828125,6791.8798828125,0
1980-06-20,6813.85009765625,6813.85009765625,6813.85009765625,6813.85009765625,0
1980-06-23,6860.89013671875,6860.89013671875,6860.89013671875,6860.89013671875,0
1980-06-24,6806.3701171875,6806.3701171875,6806.3701171875,6806.3701171875,0
1980-06-25,6761.25,6761.25,6761.25,6761.25,0
1980-06-26,6800.52978515625,6800.52978515625,6800.52978515625,6800.52978515625,0
1980-06-27,6825.02978515625,6825.02978515625,6825.02978515625,6825.02978515625,0
1980-06-30,6870.7001953125,6870.7001953125,6870.7001953125,6870.7001953125,0
1980-07-01,6824.35009765625,6824.35009765625,6824.35009765625,6824.35009765625,0
1980-07-02,6819.4501953125,6819.4501953125,6819.4501953125,6819.4501953125,0
1980-07-03,6863.83984375,6863.83984375,6863.83984375,6863.83984375,0
1980-07-04,6846.08984375,6846.08984375,6846.08984375,6846.08984375,0
1980-07-07,6708.490234375,6708.490234375,6708.490234375,6708.490234375,0
1980-07-08,6755.5400390625,6755.5400390625,6755.5400390625,6755.5400390625,0
1980-07-09,6789.7099609375,6789.7099609375,6789.7099609375,6789.7099609375,0
1980-07-10,6794.240234375,6794.240234375,6794.240234375,6794.240234375,0
1980-07-11,6787.9599609375,6787.9599609375,6787.9599609375,6787.9599609375,0
1980-07-14,6779.35986328125,6779.35986328125,6779.35986328125,6779.35986328125,0
1980-07-15,6793.3701171875,6793.3701171875,6793.3701171875,6793.3701171875,0
1980-07-16,6816.14990234375,6816.14990234375,6816.14990234375,6816.14990234375,0
1980-07-17,6810.41015625,6810.41015625,6810.41015625,6810.41015625,0
1980-07-18,6819.77978515625,6819.77978515625,6819.77978515625,6819.77978515625,0
1980-07-21,6842.490234375,6842.490234375,6842.490234375,6842.490234375,0
1980-07-22,6836.10009765625,6836.10009765625,6836.10009765625,6836.10009765625,0
1980-07-23,6837.47021484375,6837.47021484375,6837.47021484375,6837.47021484375,0
1980-07-24,6795.97998046875,6795.97998046875,6795.97998046875,6795.97998046875,0
1980-07-25,6810.490234375,6810.490234375,6810.490234375,6810.490234375,0
1980-07-28,6816.7099609375,6816.7099609375,6816.7099609375,6816.7099609375,0
1980-07-29,6811.3798828125,6811.3798828125,6811.3798828125,6811.3798828125,0
1980-07-30,6821.10009765625,6821.10009765625,6821.10009765625,6821.10009765625,0
1980-07-31,6819.6298828125,6819.6298828125,6819.6298828125,6819.6298828125,0
1980-08-01,6788.2998046875,6788.2998046875,6788.2998046875,6788.2998046875,0
1980-08-04,6753.39990234375,6753.39990234375,6753.39990234375,6753.39990234375,0
1980-08-05,6760.85009765625,6760.85009765625,6760.85009765625,6760.85009765625,0
1980-08-06,6739.97021484375,6739.97021484375,6739.97021484375,6739.97021484375,0
1980-08-07,6739.89013671875,6739.89013671875,6739.89013671875,6739.89013671875,0
1980-08-08,6771.52001953125,6771.52001953125,6771.52001953125,6771.52001953125,0
1980-08-11,6778.5400390625,6778.5400390625,6778.5400390625,6778.5400390625,0
